2023-03-12 10:47:09,948 celery.bootsteps DEBUG    | Worker: New boot order: {StateDB, Beat, Timer, Hub, Pool, Autoscaler, Consumer}
2023-03-12 10:47:09,973 celery.bootsteps DEBUG    | Consumer: Preparing bootsteps.
2023-03-12 10:47:09,974 celery.bootsteps DEBUG    | Consumer: Building graph...
2023-03-12 10:47:10,019 celery.bootsteps DEBUG    | Consumer: New boot order: {Connection, Events, Mingle, Tasks, Control, Gossip, Heart, Agent, event loop}
2023-03-12 10:47:10,059 celery.bootsteps DEBUG    | Worker: Starting Hub
2023-03-12 10:47:10,060 celery.bootsteps DEBUG    ^-- substep ok
2023-03-12 10:47:10,060 celery.bootsteps DEBUG    | Worker: Starting Pool
2023-03-12 10:47:10,356 celery.bootsteps DEBUG    ^-- substep ok
2023-03-12 10:47:10,357 celery.bootsteps DEBUG    | Worker: Starting Consumer
2023-03-12 10:47:10,358 celery.bootsteps DEBUG    | Consumer: Starting Connection
2023-03-12 10:47:10,390 celery.worker.consumer.connection INFO     Connected to redis://localhost:6379//
2023-03-12 10:47:10,391 celery.bootsteps DEBUG    ^-- substep ok
2023-03-12 10:47:10,392 celery.bootsteps DEBUG    | Consumer: Starting Events
2023-03-12 10:47:10,408 celery.bootsteps DEBUG    ^-- substep ok
2023-03-12 10:47:10,408 celery.bootsteps DEBUG    | Consumer: Starting Mingle
2023-03-12 10:47:10,409 celery.worker.consumer.mingle INFO     mingle: searching for neighbors
2023-03-12 10:47:11,444 celery.worker.consumer.mingle INFO     mingle: all alone
2023-03-12 10:47:11,444 celery.bootsteps DEBUG    ^-- substep ok
2023-03-12 10:47:11,445 celery.bootsteps DEBUG    | Consumer: Starting Tasks
2023-03-12 10:47:11,458 celery.bootsteps DEBUG    ^-- substep ok
2023-03-12 10:47:11,459 celery.bootsteps DEBUG    | Consumer: Starting Control
2023-03-12 10:47:11,465 celery.bootsteps DEBUG    ^-- substep ok
2023-03-12 10:47:11,466 celery.bootsteps DEBUG    | Consumer: Starting Gossip
2023-03-12 10:47:11,471 celery.bootsteps DEBUG    ^-- substep ok
2023-03-12 10:47:11,472 celery.bootsteps DEBUG    | Consumer: Starting Heart
2023-03-12 10:47:11,475 celery.bootsteps DEBUG    ^-- substep ok
2023-03-12 10:47:11,476 celery.bootsteps DEBUG    | Consumer: Starting event loop
2023-03-12 10:47:11,477 celery.bootsteps DEBUG    | Worker: Hub.register Pool...
2023-03-12 10:47:11,485 celery.apps.worker INFO     celery@DESKTOP-ACIBNGT ready.
2023-03-12 10:47:11,486 kombu.common DEBUG    basic.qos: prefetch_count->16
